	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	100	100	100	81	73	73	52
ASV_2	100	100	38	29	26	26	26
ASV_3	98	94	41	16	16	15	15
ASV_4	100	98	97	92	92	92	84
ASV_5	100	99	92	54	54	32	32
ASV_6	100	95	47	42	32	20	14
ASV_7	100	100	27	11	11	11	11
ASV_8	100	100	97	72	68	61	51
ASV_9	100	100	99	75	66	10	9
ASV_10	100	100	100	99	52	52	52
ASV_11	100	91	91	91	91	91	50
ASV_12	100	97	97	86	71	71	53
ASV_13	99	94	62	57	46	25	16
ASV_14	100	98	92	49	46	44	44
ASV_15	100	100	99	96	35	34	33
ASV_16	100	100	100	98	93	93	93
ASV_17	100	97	97	97	97	97	39
ASV_18	100	99	98	97	83	83	72
ASV_19	100	100	100	100	100	100	100
ASV_20	100	100	100	100	77	72	72
ASV_21	99	99	97	93	92	92	88
ASV_22	100	100	100	94	94	94	94
ASV_23	100	100	99	92	92	92	40
ASV_24	100	100	100	91	30	30	30
ASV_25	99	98	98	97	97	48	48
ASV_26	100	100	100	99	90	90	76
ASV_27	100	92	85	44	35	35	8
ASV_28	100	100	99	50	50	43	6
ASV_29	100	100	26	25	19	19	19
ASV_30	100	100	93	92	66	38	38
ASV_31	100	100	99	99	99	99	87
ASV_32	100	97	97	71	49	49	48
ASV_33	99	99	99	99	99	65	30
ASV_34	100	100	89	81	81	81	81
ASV_35	100	100	100	55	15	15	15
ASV_36	100	100	100	100	100	100	100
ASV_37	100	99	99	98	58	52	51
ASV_38	89	74	53	42	19	19	19
ASV_39	100	100	100	100	84	81	81
ASV_40	100	100	100	100	100	81	81
ASV_41	100	100	100	100	96	89	60
ASV_42	100	100	100	88	82	73	27
ASV_43	99	99	99	56	5	5	5
ASV_44	81	81	81	81	81	81	81
ASV_45	100	100	96	90	80	34	12
ASV_46	100	97	97	93	91	91	91
ASV_47	100	96	95	88	79	79	59
ASV_48	100	100	96	41	36	36	17
ASV_49	100	100	99	99	96	95	88
ASV_50	100	97	86	61	60	18	18
ASV_51	100	100	100	99	99	99	99
ASV_52	92	92	92	86	82	61	61
ASV_53	93	85	64	64	64	50	23
ASV_54	100	100	100	89	89	89	89
ASV_55	100	98	98	74	44	44	32
ASV_56	100	100	100	100	40	40	40
ASV_57	86	57	50	50	22	17	17
ASV_58	98	98	97	74	23	23	23
ASV_59	100	100	82	65	40	40	18
ASV_60	98	75	74	74	40	40	2
ASV_61	100	100	97	77	54	36	26
ASV_62	100	100	100	100	100	100	100
ASV_63	99	93	83	72	68	68	59
ASV_64	99	98	97	93	45	45	45
ASV_65	100	100	100	78	78	52	52
ASV_66	100	77	74	74	70	70	15
ASV_67	97	81	78	39	11	9	3
ASV_68	99	99	99	99	99	59	59
ASV_69	68	68	68	68	68	68	68
ASV_70	90	84	27	26	26	26	25
ASV_71	100	100	100	100	100	100	100
ASV_72	100	100	78	32	32	30	26
ASV_73	81	81	81	81	81	81	81
ASV_74	100	100	97	97	97	97	96
ASV_75	100	98	98	98	98	98	98
ASV_76	100	87	86	86	80	69	69
ASV_77	100	100	100	100	100	100	100
ASV_78	98	97	97	95	60	60	59
ASV_79	93	90	84	63	58	55	53
ASV_80	98	96	95	74	63	61	61
ASV_81	100	99	95	89	81	74	61
ASV_82	100	100	100	100	100	100	100
ASV_83	40	40	40	40	40	40	40
ASV_84	100	100	100	55	51	51	51
ASV_85	100	93	93	93	93	93	93
ASV_86	100	100	97	82	82	82	79
ASV_87	98	96	93	59	23	23	23
ASV_88	100	100	96	94	94	94	92
ASV_89	90	90	90	90	90	90	90
